	Marking				Integer Equivalent
0000010000100000010				68
0000010000100000101				53
0000010000100001100				59
0000010001000000010				77
0000010001000000101				43
0000010001000010100				61
0000010010000000010				79
0000010010000000101				51
0000010010000100100				71
0000010100000000010				87
0000010100000000101				86
0000010100001000100				83
0000011000000000010				76
0000011000000000101				45
0000011000010000100				44
0000100000100000010				31
0000100000100000101				35
0000100000100001100				21
0000100001000000010				66
0000100001000000101				73
0000100001000010100				42
0000100010000000010				13
0000100010000000101				34
0000100010000100100				12
0000100100000000010				15
0000100100000000101				24
0000100100001000100				23
0000101000000000010				4
0000101000000000101				5
0000101000010000100				3
0001000000100000010				27
0001000000100000101				18
0001000000100001100				22
0001000001000000010				30
0001000001000000101				38
0001000001000010100				14
0001000010000000010				36
0001000010000000101				19
0001000010000100100				25
0001000100000000010				8
0001000100000000101				9
0001000100001000100				7
0001001000000000010				88
0001001000000000101				89
0001001000010000100				90
0010010000100000100				62
0010010001000000100				63
0010010010000000100				49
0010010100000000100				84
0010011000000000100				54
0010100000100000100				78
0010100001000000100				48
0010100010000000100				70
0010100100000000100				17
0010101000000000100				74
0011000000100000100				64
0011000001000000100				65
0011000010000000100				40
0011000100000000100				52
0011001000000000100				82
0100010000100000100				55
0100010001000000100				58
0100010010000000100				72
0100010100000000100				85
0100011000000000100				80
0100100000100000100				67
0100100001000000100				69
0100100010000000100				47
0100100100000000100				16
0100101000000000100				57
0101000000100000100				39
0101000001000000100				26
0101000010000000100				50
0101000100000000100				11
0101001000000000100				2
1000010000100000100				41
1000010001000000100				75
1000010010000000100				56
1000010100000000100				81
1000011000000000100				46
1000100000100000100				32
1000100001000000100				60
1000100010000000100				37
1000100100000000100				28
1000101000000000100				6
1001000000100000100				33
1001000001000000100				20
1001000010000000100				29
1001000100000000100				10
1001001000000000100				1
